File Name,Component RT,Compound Name,Match Factor,Best Hit,Formula,Model Peak Area,Model Peak Height,Base Peak Area,Component Area,Model Peak MZ,Base Peak MZ
11062023_MP_T3.D,6.40213634255892,"Hexane, 3-ethyl-",73.9745003285057,True,C8H18,9418.16615005784,2757.36672998057,23356.2416592991,85989.7585740029,85,43
11062023_MM_C2.D,6.40355096146433,"Hexane, 3,3-dimethyl-",77.9320600018735,True,C8H18,5432.63110239151,2486.08440643294,24866.8691602141,103576.465657952,72,43
11062023_MM_T1.D,6.53319978292216,"Octane, 3-methyl-",73.1252665379256,True,C9H20,40221.3204335188,14779.2694057426,112766.706605019,423061.024342333,91,57
11062023_MM_T2.D,6.53943291256473,"Hexanoyl chloride, 2-ethyl-",66.1863624537466,True,C8H15ClO,63349.6607335368,22100.0854338787,162888.764418828,562118.504439133,91,57
11062023_MP_T2.D,6.54709093291073,p-Xylene,72.5279813613309,True,C8H10,15355.5198803794,5882.66626571887,69107.5622828273,402940.923873123,105,91
11062023_MM_C3.D,6.54773770894222,"2,4-Pentanedione, ion(1-), lithium",68.7935291434072,True,C5H7LiO2,15952.579451135,4410.27958173015,22723.7142765013,72792.8537369588,57,91
11062023_MM_C2.D,6.5494850069837,p-Xylene,72.3341450449671,True,C8H10,21245.4303826046,6819.68007922045,31710.5530103017,124126.091128642,57.07,91.04
11062023_MP_T3.D,6.54979272043654,"Benzene, 1,3-dimethyl-",91.7317393784628,True,C8H10,38989.1867179768,13484.0394525205,38989.1867179768,103893.838104038,91.04,91.04
11062023_MP_T2.D,6.55062154317545,"Benzene, 1,3-dimethyl-",94.0169172297947,True,C8H10,15355.5198803794,5882.66626571887,69107.5622828273,202216.206447379,105.05,91.04
11062023_MM_C2.D,6.55169352417917,"Benzene, 1,3-dimethyl-",84.8584600815668,True,C8H10,31710.5530103017,11140.5544110733,31710.5530103017,73864.8371963287,91,91
11062023_MM_T2.D,6.84758947490799,1-Ethyl-4-methylcyclohexane,76.9592036269796,True,C9H18,64961.7759738614,28948.6433669,171855.842629893,681226.890890192,57.07,97.08
11062023_MM_T2.D,6.848143430662,4-Octen-3-one,81.6651344842637,True,C8H14O,64961.7759738614,28948.6433669,171885.745853912,443633.809294571,57,97
11062023_MM_T1.D,6.84843418614604,"Sulfurous acid, butyl cyclohexylmethyl ester",76.6071245053965,True,C11H22O3S,23429.7988385089,9623.90706908269,141472.102001816,459842.236050839,85,97
11062023_MM_T1.D,6.84881179687702,1-Ethyl-4-methylcyclohexane,75.2671633891365,True,C9H18,23429.7988385089,9623.90706908269,139761.222905496,553708.251437627,85.09,97.08
11062023_MP_T2.D,6.84958877811172,4-Octen-3-one,77.9394195859474,True,C8H14O,33681.4767621975,16917.6501056588,107820.979698724,249533.139927432,57,97
11062023_MP_T3.D,6.84962763240005,4-Octen-3-one,83.0238866592494,True,C8H14O,4629.79558543385,2402.50072222219,46803.1992727513,121347.36962501,85,97
11062023_MM_C2.D,6.85061344213855,4-Octen-3-one,83.4162993123718,True,C8H14O,20787.4093232047,4267.33206937289,35708.6123077321,98163.3144258329,55.05,97.08
MP_010824_AVOC_T2.D,6.89964767806777,Nonane,94.133782279366,True,C9H20,78218.2226922907,26648.2659268634,150576.068629853,648817.743784681,85,57
MP_010824_AVOC_C3.D,6.89970273147893,Nonane,95.3902776052192,True,C9H20,219701.397795371,81484.0007718143,219701.397795371,994529.420951405,57.08,57.08
MP_010824_AVOC_CC1.D,6.8997710893095,Nonane,95.0339956855855,True,C9H20,184172.946201333,64306.319399726,184172.946201333,775190.097488189,57,57
MP_010824_AVOC_T3.D,6.90070474352118,Nonane,94.8803269893411,True,C9H20,108351.08299311,42831.7817435887,108351.08299311,512120.831299649,57.08,57.08
MP_010824_AVOC_C1.D,6.90170973980497,Nonane,95.0555282971662,True,C9H20,100555.956369614,35993.8812695972,201936.757863335,847423.455691085,85.1,57.08
MP_010824_AVOC_T4.D,6.90194361278772,Nonane,94.8480235996536,True,C9H20,122617.722379119,40160.4755607124,229437.066118859,1007087.6984495,85.1,57.08
MP_010824_AVOC_C2.D,6.90208395277353,Nonane,94.5590130486065,True,C9H20,288490.227301675,96542.3526254901,288490.227301675,1176150.38376942,57,57
MP_010824_AVOC_C3.D,6.968156007597,3-Methylcyclopentyl acetate,77.7322485943679,True,C8H14O2,48285.1267407399,22350.7755249897,90111.7475749848,353639.429265981,72,43
